model-1604203592,1604203606.446,0.68,0.1998,0.68,0.2016
model-1604203592,1604203606.509,0.76,0.1817,0.67,0.2025
model-1604203592,1604203606.566,0.59,0.2253,0.68,0.2007
model-1604203592,1604203606.626,0.65,0.203,0.68,0.2007
model-1604203592,1604203606.678,0.69,0.2075,0.66,0.2016
model-1604203592,1604203606.732,0.65,0.215,0.69,0.1986
model-1604203592,1604203606.785,0.71,0.1851,0.69,0.1965
model-1604203592,1604203606.89,0.61,0.2295,0.7,0.1937
model-1604203592,1604203606.951,0.7,0.2013,0.71,0.1922
model-1604203592,1604203607.008,0.73,0.185,0.7,0.1924
model-1604203592,1604203607.062,0.57,0.2358,0.7,0.1932
model-1604203592,1604203607.121,0.67,0.186,0.69,0.1934
model-1604203592,1604203607.18,0.73,0.187,0.72,0.1909
model-1604203592,1604203607.235,0.66,0.2253,0.72,0.1908
model-1604203592,1604203607.293,0.66,0.2119,0.73,0.1932
model-1604203592,1604203607.348,0.6,0.2242,0.71,0.1901
model-1604203592,1604203607.401,0.66,0.2184,0.7,0.1968
model-1604203592,1604203607.461,0.74,0.1905,0.66,0.2111
model-1604203592,1604203607.521,0.7,0.2007,0.69,0.2063
model-1604203592,1604203607.581,0.69,0.1998,0.66,0.1999
model-1604203592,1604203607.637,0.67,0.2148,0.68,0.2006
model-1604203592,1604203607.694,0.66,0.1959,0.7,0.2
model-1604203592,1604203607.75,0.8,0.1608,0.7,0.2017
model-1604203592,1604203607.805,0.56,0.2515,0.67,0.2022
model-1604203592,1604203607.864,0.7,0.1899,0.69,0.2061
model-1604203592,1604203607.919,0.68,0.1905,0.7,0.2079
model-1604203592,1604203607.973,0.64,0.2068,0.69,0.2049
model-1604203592,1604203608.032,0.69,0.2105,0.66,0.2049
model-1604203592,1604203608.085,0.64,0.2097,0.67,0.2138
model-1604203592,1604203608.14,0.76,0.1863,0.6,0.2299
model-1604203592,1604203608.193,0.73,0.1904,0.6,0.2351
model-1604203592,1604203608.25,0.67,0.2164,0.65,0.2154
model-1604203592,1604203608.303,0.65,0.2124,0.69,0.2037
model-1604203592,1604203608.364,0.63,0.2295,0.71,0.2057
model-1604203592,1604203608.422,0.57,0.2546,0.71,0.2009
model-1604203592,1604203608.479,0.7,0.1887,0.72,0.1978
model-1604203592,1604203608.537,0.65,0.2178,0.72,0.1967
model-1604203592,1604203608.601,0.72,0.2076,0.71,0.1959
model-1604203592,1604203608.663,0.7,0.2017,0.71,0.194
model-1604203592,1604203608.719,0.77,0.177,0.72,0.1928
model-1604203592,1604203608.772,0.71,0.2007,0.7,0.1912
model-1604203592,1604203608.828,0.71,0.1896,0.73,0.1899
model-1604203592,1604203608.881,0.63,0.237,0.73,0.1909
model-1604203592,1604203608.942,0.68,0.2068,0.73,0.1904
model-1604203592,1604203609.0,0.64,0.2156,0.73,0.1878
model-1604203592,1604203609.055,0.71,0.1871,0.7,0.1882
model-1604203592,1604203609.107,0.59,0.2268,0.69,0.1924
model-1604203592,1604203609.162,0.55,0.2624,0.68,0.1918
model-1604203592,1604203609.218,0.71,0.1925,0.71,0.1915
model-1604203592,1604203609.274,0.64,0.2188,0.72,0.1929
model-1604203592,1604203609.326,0.65,0.2129,0.72,0.201
model-1604203592,1604203609.385,0.59,0.2229,0.7,0.2042
model-1604203592,1604203609.437,0.61,0.2279,0.69,0.2054
model-1604203592,1604203609.497,0.73,0.2015,0.68,0.2082
model-1604203592,1604203609.555,0.69,0.1962,0.64,0.2153
model-1604203592,1604203609.611,0.69,0.2156,0.63,0.2187
model-1604203592,1604203609.664,0.63,0.2318,0.62,0.2154
model-1604203592,1604203609.727,0.66,0.1967,0.65,0.2076
model-1604203592,1604203609.779,0.8,0.1756,0.66,0.2036
model-1604203592,1604203609.835,0.71,0.1951,0.68,0.1983
model-1604203592,1604203609.887,0.73,0.19,0.69,0.1954
model-1604203592,1604203609.942,0.71,0.1971,0.69,0.1948
model-1604203592,1604203609.995,0.7,0.1887,0.67,0.1943
model-1604203592,1604203610.053,0.59,0.2583,0.69,0.1929
model-1604203592,1604203610.106,0.69,0.1938,0.69,0.1933
model-1604203592,1604203610.169,0.7,0.1858,0.69,0.1967
model-1604203592,1604203610.227,0.73,0.189,0.69,0.1942
model-1604203592,1604203610.286,0.75,0.1906,0.69,0.1941
model-1604203592,1604203610.337,0.72,0.1926,0.69,0.1966
model-1604203592,1604203610.393,0.63,0.226,0.65,0.2064
model-1604203592,1604203610.445,0.68,0.2097,0.65,0.2057
model-1604203592,1604203610.504,0.65,0.2199,0.64,0.2099
model-1604203592,1604203610.557,0.68,0.2141,0.65,0.2065
model-1604203592,1604203610.614,0.72,0.195,0.67,0.1949
model-1604203592,1604203610.666,0.73,0.1897,0.69,0.1929
model-1604203592,1604203610.721,0.72,0.2101,0.7,0.1911
model-1604203592,1604203610.774,0.63,0.2226,0.7,0.1895
model-1604203592,1604203610.83,0.6,0.2438,0.69,0.1921
model-1604203592,1604203610.889,0.75,0.1747,0.65,0.2061
model-1604203592,1604203610.945,0.72,0.1997,0.63,0.2332
model-1604203592,1604203610.997,0.67,0.2148,0.62,0.2237
model-1604203592,1604203611.065,0.73,0.1989,0.7,0.1963
model-1604203592,1604203611.122,0.73,0.1949,0.72,0.1901
model-1604203592,1604203611.177,0.66,0.2201,0.72,0.1928
model-1604203592,1604203611.23,0.68,0.2024,0.7,0.1945
model-1604203592,1604203611.286,0.73,0.1912,0.69,0.1965
model-1604203592,1604203611.339,0.68,0.2071,0.62,0.1996
model-1604203592,1604203611.4,0.72,0.197,0.64,0.2031
model-1604203592,1604203611.457,0.68,0.2109,0.62,0.2039
model-1604203592,1604203611.514,0.57,0.2327,0.66,0.2055
model-1604203592,1604203611.566,0.64,0.2117,0.65,0.2074
model-1604203592,1604203611.623,0.65,0.2117,0.65,0.2076
model-1604203592,1604203611.674,0.69,0.2089,0.65,0.2065
model-1604203592,1604203611.731,0.72,0.1917,0.65,0.2075
model-1604203592,1604203611.783,0.72,0.1884,0.68,0.2055
model-1604203592,1604203611.838,0.68,0.2067,0.7,0.2
model-1604203592,1604203611.89,0.66,0.2249,0.69,0.1959
model-1604203592,1604203611.944,0.71,0.1906,0.72,0.1921
model-1604203592,1604203612.001,0.75,0.1918,0.71,0.1881
model-1604203592,1604203612.057,0.76,0.1722,0.73,0.1883
model-1604203592,1604203612.11,0.63,0.2026,0.71,0.1893
model-1604203592,1604203612.167,0.68,0.204,0.72,0.1855
model-1604203592,1604203612.219,0.68,0.209,0.75,0.1859
model-1604203592,1604203612.275,0.84,0.1576,0.73,0.1875
model-1604203592,1604203612.328,0.74,0.1765,0.73,0.1901
model-1604203592,1604203612.386,0.72,0.1849,0.7,0.1939
model-1604203592,1604203612.438,0.72,0.2062,0.64,0.1986
model-1604203592,1604203612.494,0.7,0.189,0.69,0.195
model-1604203592,1604203612.547,0.7,0.1843,0.65,0.2
model-1604203592,1604203612.614,0.73,0.1805,0.67,0.1944
model-1604203592,1604203612.666,0.7,0.1883,0.7,0.1935
model-1604203592,1604203612.723,0.69,0.192,0.68,0.2093
model-1604203592,1604203612.78,0.54,0.295,0.73,0.1943
model-1604203592,1604203612.838,0.64,0.2201,0.7,0.1842
model-1604203592,1604203612.891,0.67,0.1815,0.68,0.2009
model-1604203592,1604203612.952,0.67,0.2041,0.68,0.2184
model-1604203592,1604203613.005,0.61,0.2386,0.69,0.1953
model-1604203592,1604203613.062,0.7,0.2045,0.73,0.1804
model-1604203592,1604203613.115,0.74,0.1816,0.67,0.1981
model-1604203592,1604203613.17,0.56,0.2528,0.65,0.2068
model-1604203592,1604203613.224,0.65,0.2174,0.67,0.2052
model-1604203592,1604203613.28,0.68,0.2103,0.67,0.1972
model-1604203592,1604203613.333,0.64,0.2144,0.71,0.1922
model-1604203592,1604203613.389,0.67,0.2138,0.66,0.2001
model-1604203592,1604203613.44,0.74,0.1847,0.64,0.2154
model-1604203592,1604203613.501,0.66,0.2161,0.63,0.2184
model-1604203592,1604203613.553,0.64,0.2169,0.68,0.2107
model-1604203592,1604203613.615,0.65,0.2168,0.64,0.1982
model-1604203592,1604203613.669,0.64,0.2314,0.75,0.1923
model-1604203592,1604203613.726,0.71,0.1935,0.7,0.1924
model-1604203592,1604203613.779,0.71,0.1906,0.71,0.199
model-1604203592,1604203613.834,0.62,0.2174,0.71,0.1991
model-1604203592,1604203613.886,0.67,0.2033,0.72,0.196
model-1604203592,1604203613.942,0.63,0.22,0.73,0.1925
model-1604203592,1604203613.996,0.64,0.2151,0.71,0.1923
model-1604203592,1604203614.052,0.69,0.2053,0.69,0.196
model-1604203592,1604203614.106,0.68,0.2014,0.68,0.2003
model-1604203592,1604203614.161,0.7,0.2134,0.67,0.2019
model-1604203592,1604203614.214,0.73,0.1939,0.69,0.1991
model-1604203592,1604203614.269,0.69,0.215,0.66,0.1961
model-1604203592,1604203614.323,0.72,0.1864,0.7,0.1966
model-1604203592,1604203614.378,0.71,0.2026,0.73,0.1979
model-1604203592,1604203614.43,0.63,0.2063,0.72,0.1963
model-1604203592,1604203614.488,0.74,0.1842,0.73,0.1939
model-1604203592,1604203614.541,0.69,0.2037,0.69,0.1897
model-1604203592,1604203614.597,0.7,0.1953,0.71,0.1884
model-1604203592,1604203614.651,0.72,0.184,0.7,0.1897
model-1604203592,1604203614.712,0.71,0.1849,0.71,0.1916
model-1604203592,1604203614.768,0.69,0.2059,0.71,0.1868
model-1604203592,1604203614.823,0.67,0.1981,0.69,0.1838
model-1604203592,1604203614.876,0.71,0.1621,0.7,0.1845
model-1604203592,1604203614.931,0.81,0.1589,0.7,0.1833
model-1604203592,1604203614.986,0.68,0.2011,0.71,0.1833
model-1604203592,1604203615.049,0.8,0.1454,0.69,0.1865
model-1604203592,1604203615.104,0.69,0.1836,0.72,0.1857
model-1604203592,1604203615.166,0.63,0.2322,0.7,0.1929
model-1604203592,1604203615.229,0.71,0.1763,0.68,0.1951
model-1604203592,1604203615.29,0.67,0.2243,0.7,0.1898
model-1604203592,1604203615.35,0.69,0.2038,0.72,0.1868
model-1604203592,1604203615.41,0.7,0.1873,0.71,0.186
model-1604203592,1604203615.467,0.65,0.212,0.71,0.1788
model-1604203592,1604203615.523,0.69,0.1886,0.71,0.1808
model-1604203592,1604203615.576,0.68,0.2043,0.69,0.1973
model-1604203592,1604203615.637,0.64,0.2137,0.71,0.1862
model-1604203592,1604203615.69,0.67,0.2036,0.71,0.1749
model-1604203592,1604203615.748,0.6,0.2198,0.7,0.188
model-1604203592,1604203615.806,0.71,0.1909,0.71,0.1865
model-1604203592,1604203615.867,0.76,0.1719,0.71,0.1806
model-1604203592,1604203615.923,0.69,0.2268,0.75,0.1761
model-1604203592,1604203615.981,0.67,0.2156,0.71,0.1837
model-1604203592,1604203616.037,0.73,0.1775,0.68,0.1901
model-1604203592,1604203616.098,0.73,0.2005,0.69,0.1841
model-1604203592,1604203616.152,0.66,0.2015,0.75,0.1728
model-1604203592,1604203616.21,0.7,0.1856,0.74,0.1752
model-1604203592,1604203616.267,0.74,0.1827,0.75,0.1729
model-1604203592,1604203616.324,0.7,0.1977,0.71,0.1688
model-1604203592,1604203616.376,0.76,0.1761,0.72,0.1704
model-1604203592,1604203616.436,0.68,0.1855,0.75,0.1746
model-1604203592,1604203616.488,0.62,0.2277,0.75,0.1744
model-1604203592,1604203616.548,0.64,0.2288,0.75,0.176
model-1604203592,1604203616.606,0.68,0.2009,0.73,0.1698
model-1604203592,1604203616.661,0.75,0.1679,0.72,0.1664
model-1604203592,1604203616.714,0.71,0.1818,0.75,0.171
